year,CO2_in_atmosphere_GtCO2
2015,3059.617924637235
2016,3075.685017083869
2017,3100.1831242213134
2018,3120.311930903652
2019,3148.499115795559
2020,3162.6690193730815
2021,3177.885560313566
2022,3203.4342390124
2023,3227.849966219355
2024,3253.602899034406
2025,3270.301784493275
2026,3295.4673270917237
2027,3317.9292190929696
2028,3340.8800434571135
2029,3359.867651755721
2030,3386.258708291053
2031,3408.184188541247
2032,3429.8636375764568
2033,3452.4148550949276
2034,3475.2787869096974
2035,3498.760044144407
2036,3524.9903340649903
2037,3551.631083875497
2038,3574.3194376740344
2039,3600.092263568066
2040,3620.884608760233
2041,3645.141192949348
2042,3670.261734267989
2043,3695.3048220202363
2044,3719.796801820065
2045,3743.393040884189
2046,3766.022886123981
2047,3791.436868646586
2048,3811.4462048768114
2049,3838.726313884406
2050,3864.5783880844815
2051,3885.114093858371
2052,3912.1439191330223
2053,3940.9738114637507
2054,3966.701962918676
2055,3987.1603555063853
2056,4015.362044989886
2057,4037.044237256227
2058,4051.2414732148613
2059,4072.7846058809614
2060,4102.455601601836
2061,4126.350091386606
2062,4150.252257562803
2063,4170.027971829309
2064,4197.707719342032
2065,4215.181404125131
2066,4230.6653253218565
2067,4256.692483083878
2068,4278.803618665566
2069,4298.509548275972
2070,4313.184252127953
2071,4328.818348494929
2072,4354.0224527963
2073,4378.2230376545585
2074,4393.544860761607
2075,4412.055575907789
2076,4435.658038681877
2077,4448.88105905521
2078,4459.526438136984
2079,4473.722751099151
2080,4492.9089656967
2081,4502.7949679672565
2082,4518.673852458883
2083,4536.880067286845
2084,4544.741563616918
2085,4554.465011303631
2086,4577.824594203455
2087,4582.878357263965
2088,4586.017600089296
2089,4606.860669962446
2090,4614.974139135384
2091,4613.337449790637
2092,4622.908014717632
2093,4634.7635866048595
2094,4632.894067026537
2095,4640.307505608194
2096,4638.703414193553
2097,4640.571589837192
2098,4659.595232679992
2099,4656.923974486633
2100,4657.735473175697
