year,emissions_GtCO2_per_year,CO2_in_atmosphere_GtCO2
1850,0.9787777782669714,2217.886797066294
1851,2.5705474859679636,2214.9545930400895
1852,2.593260302525505,2211.967029108913
1853,2.605600669128311,2221.5288000516834
1854,2.5839048685152615,2221.204348515846
1855,2.5933834782420653,2216.4900944852534
1856,2.5788108948159905,2213.6289820826787
1857,2.6299938749318144,2223.233604971126
1858,2.6251543466742233,2223.189846409721
1859,2.6374458647120846,2222.354810488224
1860,2.605398412407255,2224.6106042848983
1861,2.4902545443486375,2221.2977984828713
1862,2.493743890364309,2224.0767692813465
1863,2.5063134058190624,2224.944712122782
1864,2.503937149246609,2227.1750800821223
1865,2.540549109116526,2234.0877150499086
1866,1.8034906735161793,2235.3582833539112
1867,1.8229374422862998,2235.7607757157457
1868,1.849733347607578,2235.7078395885887
1869,1.9269108735931395,2235.0214904652407
1870,1.9224532087208515,2233.1750245601743
1871,2.333454365343278,2235.800476774904
1872,2.3137278413858238,2240.4744394450718
1873,2.4072085347766476,2243.773532161418
1874,2.4140441582100745,2242.598545762669
1875,2.4783637525565445,2244.560991096025
1876,2.442349345018318,2243.085717458725
1877,2.4703439926863453,2244.1018247161383
1878,2.499728753547104,2244.8162740720345
1879,2.532813183768927,2246.8784575033187
1880,2.6166774471094105,2251.990171704469
1881,2.443380036915298,2252.9922236458165
1882,2.400000963983425,2250.7681769473465
1883,2.4043106256273243,2254.315267972534
1884,2.448970707304298,2259.886836045289
1885,2.4292085547349087,2259.508497482818
1886,2.5626612859104303,2259.3036712931116
1887,2.530915814701394,2259.0092281675043
1888,2.606488823070277,2264.283146930654
1889,2.669773260070726,2270.8145792250866
1890,2.6392207126599687,2272.276282897437
1891,3.014630896612303,2273.2474379445594
1892,3.00995116355571,2276.020080569261
1893,3.0743875592522865,2281.6859406102144
1894,3.02235864868169,2284.3044216502153
1895,3.1218075873969435,2285.47226855849
1896,3.2111422744608418,2288.820860345187
1897,3.1664280823965725,2289.944206764963
1898,3.200551732987886,2289.785273637477
1899,3.196862744723972,2294.122352665413
1900,3.307944357106767,2302.877430667111
1901,3.283598228228673,2305.9489008812843
1902,3.28066463683436,2300.6639926383814
1903,3.410369258016105,2300.1768471601567
1904,3.398635612071701,2306.9426501370062
1905,3.420135561432357,2313.10797422047
1906,3.512059103638733,2312.7877209103253
1907,3.461136958119669,2312.646630743109
1908,3.497122446376187,2315.7572937267796
1909,3.5811164674389944,2322.739877815835
1910,3.6444648930534917,2324.9595538842823
1911,3.4496354345914675,2329.699564985316
1912,3.484742226922923,2329.263426898085
1913,3.3651803996279255,2330.6154955370926
1914,3.4562651944073224,2333.2909429023293
1915,3.502072546123953,2341.3383633665976
1916,3.516033805609862,2345.4208506915597
1917,3.554107739439354,2351.365072123357
1918,3.632694459523624,2353.611835702879
1919,3.5612272833701613,2361.981282477997
1920,3.6483271739222296,2363.9469904174334
1921,3.7796385544423887,2359.569644743484
1922,3.936995988406026,2364.591883654359
1923,3.8660653497740753,2373.608405869537
1924,3.9879253995796553,2372.2007557361503
1925,3.9738331005638963,2369.2793548933664
1926,3.9165806816011624,2373.3042143697207
1927,3.9383937488374428,2376.206756375072
1928,4.060193829574127,2385.3796897829025
1929,3.9899260875878513,2385.778607426808
1930,3.99516175910699,2386.2646218399946
1931,4.195594307988731,2386.872753290865
1932,4.132330416256144,2392.524389926533
1933,4.272905547750222,2394.985175915559
1934,4.349364572416258,2390.5693996351147
1935,4.273674704145886,2390.5480703667654
1936,4.435353896528522,2393.167480409646
1937,4.543603939177568,2399.4856238937377
1938,4.608950346480438,2404.5718630411
1939,4.6028082845969065,2409.551181618843
1940,4.535155549254953,2417.45493706556
1941,4.562276209368753,2418.9745988071404
1942,4.690393665430964,2417.8093552430173
1943,4.673854607550819,2425.249780039493
1944,4.760384501895139,2431.093421707771
1945,4.72684189347535,2427.9562306193657
1946,4.925317976055821,2425.472878095927
1947,4.888272276441354,2430.671687488703
1948,4.903696592266967,2433.48435880764
