year,emissions_kg_per_s,region,MtCO2_per_year
1850,2349.4080054039837,usa,74.09093085842002
1851,7895.78692946188,usa,249.00153660750985
1852,8240.774829413038,usa,259.88107502036956
1853,8461.728714574956,usa,266.8490767428358
1854,8769.438943910076,usa,276.55302653514815
1855,9079.146515566727,usa,286.3199645149123
1856,9144.444274471434,usa,288.37919463973117
1857,9481.78061891538,usa,299.0174335981154
1858,9746.194702434239,usa,307.35599613596617
1859,9759.625687528778,usa,307.77955568190754
1860,9972.748616688372,usa,314.5006003758845
1861,6988.983118189525,usa,220.40457161522485
1862,7027.9774097093905,usa,221.63429559259535
1863,7360.183095329016,usa,232.11073409429588
1864,7107.225919042627,usa,224.1334765829283
1865,7574.660129800941,usa,238.87448185340247
1866,7327.615662549401,usa,231.08368753415792
1867,7220.050558069898,usa,227.6915143992923
1868,7571.172243429351,usa,238.764487868788
1869,7531.090084652788,usa,237.5004569096103
1870,7625.813354869497,usa,240.48764995916446
1871,17455.53130201591,usa,550.4776351403736
1872,17788.85706875661,usa,560.9893965203084
1873,18333.954523150325,usa,578.1795898420686
1874,18379.59809158157,usa,579.6190054161165
1875,19441.701674253487,usa,613.1135039992579
1876,18892.837397860134,usa,595.8045201789172
1877,19402.795647231465,usa,611.8865635310915
1878,20178.72072146151,usa,636.3561366720102
1879,20276.735202255284,usa,639.4471213383226
1880,20939.61522216338,usa,660.3517056461443
1881,15545.700684367805,usa,490.2492167822231
1882,16124.632513216433,usa,508.50641093679343
1883,16115.912604585588,usa,508.23141989821113
1884,16389.309575164658,usa,516.8532667623926
1885,16070.125795570522,usa,506.787487089112
1886,18083.73360227607,usa,570.288622881378
1887,17398.868938919066,usa,548.6907308577516
1888,17806.78495274379,usa,561.5547702697281
1889,18588.642621216382,usa,586.2114337026798
1890,18515.507623767786,usa,583.9050484231409
1891,26080.073743564353,usa,822.4612055770455
1892,25962.007959774473,usa,818.7378830194477
1893,27020.836103734695,usa,852.1290873673773
1894,27107.278253585737,usa,854.8551270050798
1895,28038.285334869182,usa,884.2153663204346
1896,28113.234264842653,usa,886.5789557760779
1897,28355.396681213446,usa,894.2157897387472
1898,28656.427525495874,usa,903.7090984440379
1899,28399.59891782633,usa,895.6097514725711
1900,29505.74171108499,usa,930.4930706007763
1901,22251.779626362983,usa,701.732122296983
1902,22294.920615492218,usa,703.0926165301626
1903,22643.03800669075,usa,714.0708465789995
1904,22201.68539653928,usa,700.1523506652627
1905,22211.007298246284,usa,700.4463261574949
1906,23650.731780737464,usa,745.8494774373366
1907,24108.079339643766,usa,760.2723900550058
1908,23250.100258429797,usa,733.2151617498421
1909,24600.794551950556,usa,775.8106569903127
1910,24389.324853095855,usa,769.1417485672308
1911,22562.285517876324,usa,711.5242360917478
1912,22639.65696744493,usa,713.9642221253434
1913,22541.187608345947,usa,710.8588924167977
1914,22307.852157877747,usa,703.5004256508327
1915,22377.06278698778,usa,705.6830520504467
1916,22230.322938443293,usa,701.0554641867477
1917,22777.12890681501,usa,718.2995372053182
1918,22455.826752857818,usa,708.1669524781241
1919,22934.512589847127,usa,723.2627890334189
1920,22693.069192875948,usa,715.6486300665359
1921,24377.71085557622,usa,768.7754895414516
1922,25521.360015029164,usa,804.8416094339597
1923,25639.252984410294,usa,808.559482116363
1924,26087.08571640866,usa,822.6823351526634
1925,26640.98138062333,usa,840.1499888193373
1926,25791.609922938867,usa,813.3642105298002
1927,26197.330151502785,usa,826.1590036577919
1928,26839.64802495205,usa,846.4151401148878
1929,27753.100759134646,usa,875.2217855400702
1930,26449.243902757047,usa,834.1033557173462
1931,25666.67408749016,usa,809.4242340230896
1932,25172.549356188218,usa,793.8415164967516
1933,25445.728113620586,usa,802.4564817911388
1934,25208.888499305485,usa,794.9875077140978
1935,25464.663752650493,usa,803.053636103586
1936,25471.695426590868,usa,803.2753869729696
1937,25825.254496887577,usa,814.4252258138466
1938,25701.633463203183,usa,810.5267128955755
1939,26474.700476749294,usa,834.9061542347657
1940,24890.28762575833,usa,784.9401105659147
1941,26255.696587968618,usa,827.9996475981784
1942,26050.456648940202,usa,821.5272008809783
1943,26361.02035710076,usa,831.3211379815295
1944,27083.634970270014,usa,854.1095124224352
1945,27452.38156293065,usa,865.7383049685809
1946,28631.475444409753,usa,902.922209614906
1947,27526.2388020038,usa,868.0674668599919
1948,26586.44813843379,usa,838.430228493648
1949,28072.56194690817,usa,885.2963135576961
1950,27319.99773157822,usa,861.5634484630508
1951,23610.504513027583,usa,744.5808703228379
1952,24466.119871225368,usa,771.5635562589632
1953,25194.453079346928,usa,794.5322723102846
1954,24321.517350334983,usa,767.0033711601641
1955,26334.34395266663,usa,830.4798708912948
1956,25850.72974651871,usa,815.2286132862141
1957,25970.029579118152,usa,818.99085280707
1958,26422.06940929581,usa,833.2463808915527
1959,26625.88301099365,usa,839.6738466346958
1960,26480.570706382292,usa,835.0912777964719
1961,26134.144324506666,usa,824.1663754176423
